0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;label
39.0;27.0;39.0;25.0;39.0;27.0;38.0;28.0;38.0;30.0;37.0;33.0;37.0;36.0;36.0;39.0;35.0;43.0;35.0;47.0;34.0;51.0;33.0;54.0;33.0;56.0;32.0;58.0;32.0;60.0;38.0;26.0;39.0;26.0;41.0;25.0;42.0;25.0;43.0;24.0;44.0;24.0;46.0;24.0;48.0;25.0;50.0;26.0;51.0;28.0;50.0;34.0;47.0;39.0;42.0;44.0;37.0;47.0;34.0;47.0;32.0;45.0;33.0;42.0;P
48.0;17.0;46.0;16.0;45.0;17.0;43.0;18.0;40.0;20.0;38.0;23.0;35.0;26.0;33.0;29.0;31.0;32.0;29.0;35.0;28.0;39.0;27.0;42.0;27.0;48.0;28.0;50.0;31.0;54.0;33.0;55.0;35.0;54.0;38.0;53.0;43.0;50.0;45.0;48.0;47.0;46.0;49.0;43.0;50.0;40.0;51.0;37.0;51.0;34.0;50.0;30.0;49.0;26.0;48.0;24.0;45.0;23.0;44.0;24.0;38.0;46.0;40.0;54.0;Q
36.0;19.0;35.0;22.0;35.0;25.0;34.0;28.0;33.0;32.0;30.0;48.0;29.0;53.0;28.0;57.0;26.0;65.0;27.0;62.0;37.0;19.0;38.0;18.0;41.0;18.0;42.0;19.0;43.0;22.0;44.0;24.0;43.0;28.0;42.0;32.0;39.0;35.0;37.0;37.0;31.0;42.0;29.0;42.0;28.0;41.0;29.0;38.0;30.0;37.0;32.0;38.0;33.0;40.0;34.0;45.0;36.0;50.0;38.0;54.0;41.0;58.0;43.0;60.0;R
46.0;20.0;44.0;21.0;42.0;22.0;39.0;24.0;36.0;26.0;34.0;28.0;32.0;30.0;30.0;31.0;29.0;33.0;28.0;34.0;27.0;35.0;29.0;37.0;30.0;37.0;31.0;37.0;32.0;37.0;34.0;36.0;37.0;36.0;39.0;36.0;44.0;37.0;46.0;38.0;49.0;40.0;48.0;47.0;45.0;48.0;42.0;50.0;38.0;52.0;35.0;54.0;32.0;56.0;30.0;58.0;27.0;60.0;28.0;59.0;29.0;58.0;31.0;56.0;S
40.0;21.0;40.0;21.0;40.0;21.0;40.0;21.0;40.0;21.0;40.0;22.0;40.0;23.0;39.0;25.0;39.0;27.0;38.0;31.0;38.0;35.0;38.0;39.0;37.0;45.0;37.0;50.0;37.0;54.0;36.0;57.0;36.0;59.0;51.0;17.0;51.0;17.0;51.0;17.0;51.0;17.0;51.0;16.0;51.0;16.0;50.0;16.0;49.0;15.0;47.0;16.0;44.0;16.0;41.0;18.0;37.0;20.0;32.0;23.0;27.0;26.0;19.0;32.0;T
34.0;22.0;34.0;22.0;34.0;23.0;34.0;23.0;34.0;23.0;34.0;24.0;34.0;24.0;33.0;26.0;33.0;30.0;32.0;35.0;32.0;41.0;32.0;47.0;32.0;49.0;33.0;53.0;34.0;54.0;35.0;55.0;38.0;54.0;40.0;52.0;43.0;48.0;46.0;42.0;48.0;37.0;49.0;31.0;49.0;26.0;49.0;24.0;49.0;22.0;49.0;22.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;U
28.0;19.0;29.0;19.0;29.0;19.0;29.0;20.0;29.0;21.0;30.0;23.0;30.0;25.0;31.0;28.0;32.0;32.0;33.0;35.0;33.0;39.0;33.0;43.0;34.0;46.0;34.0;48.0;34.0;50.0;33.0;53.0;33.0;54.0;33.0;53.0;34.0;52.0;35.0;50.0;36.0;48.0;37.0;45.0;39.0;41.0;40.0;38.0;42.0;34.0;44.0;31.0;45.0;28.0;46.0;25.0;48.0;21.0;48.0;21.0;48.0;22.0;47.0;23.0;V
26.0;18.0;27.0;23.0;27.0;26.0;28.0;29.0;28.0;34.0;28.0;38.0;29.0;42.0;30.0;47.0;30.0;53.0;31.0;55.0;31.0;59.0;30.0;61.0;29.0;61.0;33.0;52.0;35.0;49.0;36.0;45.0;37.0;42.0;38.0;39.0;40.0;31.0;40.0;37.0;40.0;40.0;40.0;43.0;39.0;45.0;39.0;50.0;40.0;52.0;41.0;55.0;42.0;52.0;44.0;49.0;46.0;46.0;48.0;42.0;51.0;39.0;55.0;30.0;W
52.0;19.0;52.0;20.0;50.0;22.0;49.0;24.0;47.0;26.0;45.0;29.0;41.0;36.0;39.0;39.0;37.0;42.0;36.0;44.0;35.0;46.0;34.0;48.0;34.0;49.0;33.0;50.0;33.0;52.0;33.0;53.0;51.0;53.0;52.0;54.0;52.0;53.0;51.0;50.0;50.0;48.0;49.0;45.0;48.0;42.0;46.0;39.0;44.0;36.0;43.0;33.0;41.0;30.0;39.0;27.0;38.0;25.0;37.0;23.0;36.0;21.0;36.0;19.0;X
33.0;16.0;33.0;17.0;34.0;17.0;35.0;18.0;36.0;18.0;37.0;19.0;38.0;20.0;39.0;22.0;41.0;24.0;43.0;27.0;44.0;30.0;46.0;32.0;47.0;35.0;48.0;36.0;48.0;37.0;49.0;36.0;64.0;17.0;65.0;16.0;65.0;15.0;65.0;15.0;65.0;15.0;65.0;15.0;65.0;15.0;65.0;15.0;64.0;16.0;63.0;17.0;61.0;21.0;57.0;27.0;53.0;34.0;48.0;44.0;42.0;57.0;41.0;60.0;Y
